"RECEPTION_DATE"	"SALE_PRICE"
20080101	210000
20080101	381500
20080102	80000
20080102	267400
20080102	265500
20080103	144687
20080103	271070
20080103	172418
20080103	148500
20080103	550500
20080103	205686
20080103	179319
20080103	160000
20080103	168985
20080103	171264
20080103	148800
20080103	191944
20080103	159075
20080103	140000
20080103	108000
20080103	145597
20080103	264170
20080103	171613
20080103	218430
20080103	154702
20080103	77891
20080103	99000
20080103	197750
20080103	208853
20080103	141008
20080103	199332
20080103	157500
20080103	180000
20080104	545000
20080104	128000
20080104	400000
20080104	570500
20080104	605000
20080104	36500
20080104	139180
20080104	6000
20080104	290000
20080104	227900
20080104	235000
20080104	1115000
20080107	7049
20080107	202500
20080107	1150000
20080107	303000
20080107	139000
20080107	265000
20080107	284000
20080107	417000
20080107	197000
20080108	603000
20080108	149697
20080108	100000
20080108	317000
20080108	202500
20080108	260000
20080108	172990
20080108	315900
20080108	36000
20080108	130000
20080108	167107
20080108	320000
20080108	960000
20080108	205030
20080108	200000
20080108	900000
20080108	700000
20080108	338000
20080109	465000
20080109	50000
20080109	196713
20080109	332000
20080109	108900
20080109	105800
20080109	42688
20080109	91000
20080109	231500
20080109	212500
20080109	1555000
20080109	975000
20080109	115500
20080109	250000
20080109	81000
20080109	247514
20080109	287000
20080109	190000
20080109	296220
20080109	158000
20080109	52000
20080109	188200
20080109	276000
20080110	130000
20080110	479950
20080110	138000
20080110	76650
20080110	307778
